Name,FX 63-147 AIRFOIL
Chord(mm),1400
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
1400.000000,0.000000
1398.474000,0.420000
1393.994000,2.310000
1386.476000,5.432000
1376.074000,9.562000
1362.816000,14.392000
1346.688000,19.656000
1327.872000,25.102000
1306.186000,30.772000
1281.994000,36.638000
1255.016000,42.728000
1226.260000,49.014000
1194.900000,55.496000
1161.580000,62.132000
1126.104000,68.894000
1088.822000,75.838000
1049.930140,82.894000
1009.610000,89.978000
967.862000,97.020000
925.036000,103.950000
881.132000,110.698000
836.500000,117.208000
791.350000,123.410000
745.836000,129.108000
699.958000,134.344000
654.262000,138.838000
608.566000,142.576000
563.402000,145.194000
518.784000,146.776000
475.062000,147.070000
432.054000,146.272000
390.474000,144.144000
349.972000,140.868000
311.094000,136.206000
273.812000,130.578000
238.518000,123.634000
205.002000,116.004000
173.642000,107.268000
144.620000,98.238000
117.908000,88.242000
93.716000,78.400000
72.212000,67.732000
53.228000,57.582000
37.100000,46.704000
23.828000,36.862000
13.440000,26.264000
5.908000,17.920000
1.428000,7.658000
0.000000,0.000000
1.428000,-3.612000
5.908000,-6.790000
13.440000,-11.718000
23.828000,-15.666000
37.100000,-20.454000
53.228000,-24.304000
72.212000,-28.602000
93.716000,-32.116000
117.908000,-36.022000
144.620000,-39.382000
173.642000,-42.994000
205.002000,-46.060000
238.518000,-49.196000
273.812000,-51.716000
311.094000,-54.180000
349.972000,-56.028000
390.474000,-57.652000
432.054000,-58.660000
475.062000,-59.416000
518.784000,-59.514000
563.402000,-59.276000
608.566000,-58.436000
654.262000,-57.302000
699.958000,-55.622000
745.836000,-53.592000
791.350000,-50.890000
836.500000,-47.866000
881.132000,-44.184000
925.036000,-40.026000
967.862000,-35.182000
1009.610000,-29.848000
1049.930140,-23.996000
1088.822000,-17.808000
1126.104000,-11.438000
1161.580000,-4.970000
1194.900000,1.022000
1226.260000,6.034000
1255.016000,9.660000
1281.994000,12.068000
1306.186000,13.244000
1327.872000,13.356000
1346.688000,12.432000
1362.816000,10.640000
1376.074000,8.190000
1386.476000,5.474000
1393.994000,2.968000
1398.474000,0.952000
1400.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.428000,2.023000
5.908000,5.565000
13.440000,7.273000
23.828000,10.598000
37.100000,13.125000
53.228000,16.639000
72.212000,19.565000
93.716000,23.142000
117.908000,26.110000
144.620000,29.428000
173.642000,32.137000
205.002000,34.972000
238.518000,37.219000
273.812000,39.431000
311.094000,41.013000
349.972000,42.420000
390.474000,43.246000
432.054000,43.806000
475.062000,43.827000
518.784000,43.631000
563.402000,42.959000
608.566000,42.070000
654.262000,40.768000
699.958000,39.361000
745.836000,37.758000
791.350000,36.260000
836.500000,34.671000
881.132000,33.257000
925.036000,31.962000
967.862000,30.919000
1009.610000,30.065000
1049.930140,29.449000
1088.822000,29.015000
1126.104000,28.728000
1161.580000,28.581000
1194.900000,28.259000
1226.260000,27.524000
1255.016000,26.194000
1281.994000,24.353000
1306.186000,22.008000
1327.872000,19.229000
1346.688000,16.044000
1362.816000,12.516000
1376.074000,8.876000
1386.476000,5.453000
1393.994000,2.639000
1398.474000,0.686000
1400.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
1400.000000,0.000000
