Name,S9032 (9%)
Chord(mm),155.78
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
155.780000,0.000000
155.649145,0.001558
155.258137,0.017136
154.617881,0.051407
153.736166,0.110604
152.625455,0.194725
151.293536,0.303771
149.751314,0.431511
148.005020,0.573270
146.054655,0.724377
143.904891,0.884830
141.560402,1.057746
139.028977,1.244682
136.321520,1.445638
133.445821,1.659057
130.409669,1.884938
127.227084,2.123281
123.904296,2.372529
120.455327,2.632682
116.889523,2.902181
113.217788,3.177912
109.452586,3.461432
105.604820,3.749625
101.690068,4.040933
97.719236,4.332242
93.704786,4.618877
89.656063,4.899281
85.582416,5.170338
81.499423,5.432049
77.417987,5.681297
73.345897,5.911851
69.295617,6.126827
65.278051,6.323110
61.305661,6.499142
57.386236,6.650248
53.532239,6.777988
49.751459,6.880803
46.057915,6.955577
42.457839,6.997638
38.957462,7.010100
35.569247,6.991406
32.302541,6.939999
29.162016,6.851204
26.152346,6.728138
23.284437,6.572358
20.566076,6.382307
18.000379,6.151752
15.588905,5.885368
13.339441,5.587829
11.259778,5.257575
9.351473,4.889934
7.611411,4.489580
6.045822,4.064300
4.664053,3.614096
3.461432,3.129620
2.430168,2.623335
1.574936,2.106146
0.908197,1.585840
0.431511,1.046842
0.121508,0.506285
0.000000,0.000000
0.121508,-0.506285
0.431511,-1.046842
0.908197,-1.585840
1.574936,-2.106146
2.430168,-2.623335
3.461432,-3.129620
4.664053,-3.614096
6.045822,-4.064300
7.611411,-4.489580
9.351473,-4.889934
11.259778,-5.257575
13.339441,-5.587829
15.588905,-5.885368
18.000379,-6.151752
20.566076,-6.382307
23.284437,-6.572358
26.152346,-6.728138
29.162016,-6.851204
32.302541,-6.939999
35.569247,-6.991406
38.957462,-7.010100
42.457839,-6.997638
46.057915,-6.955577
49.751459,-6.880803
53.532239,-6.777988
57.386236,-6.650248
61.305661,-6.499142
65.278051,-6.323110
69.295617,-6.126827
73.345897,-5.911851
77.417987,-5.681297
81.499423,-5.432049
85.582416,-5.170338
89.656063,-4.899281
93.704786,-4.618877
97.719236,-4.332242
101.690068,-4.040933
105.604820,-3.749625
109.452586,-3.461432
113.217788,-3.177912
116.889523,-2.902181
120.455327,-2.632682
123.904296,-2.372529
127.227084,-2.123281
130.409669,-1.884938
133.445821,-1.659057
136.321520,-1.445638
139.028977,-1.244682
141.560402,-1.057746
143.904891,-0.884830
146.054655,-0.724377
148.005020,-0.573270
149.751314,-0.431511
151.293536,-0.303771
152.625455,-0.194725
153.736166,-0.110604
154.617881,-0.051407
155.258137,-0.017136
155.649145,-0.001558
155.780000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.121508,0.000000
0.431511,0.000000
0.908197,0.000000
1.574936,0.000000
2.430168,0.000000
3.461432,0.000000
4.664053,0.000000
6.045822,0.000000
7.611411,0.000000
9.351473,0.000000
11.259778,0.000000
13.339441,0.000000
15.588905,0.000000
18.000379,0.000000
20.566076,0.000000
23.284437,0.000000
26.152346,0.000000
29.162016,0.000000
32.302541,0.000000
35.569247,0.000000
38.957462,0.000000
42.457839,0.000000
46.057915,0.000000
49.751459,0.000000
53.532239,0.000000
57.386236,0.000000
61.305661,0.000000
65.278051,0.000000
69.295617,0.000000
73.345897,0.000000
77.417987,0.000000
81.499423,0.000000
85.582416,0.000000
89.656063,0.000000
93.704786,0.000000
97.719236,0.000000
101.690068,0.000000
105.604820,0.000000
109.452586,0.000000
113.217788,0.000000
116.889523,0.000000
120.455327,0.000000
123.904296,0.000000
127.227084,0.000000
130.409669,0.000000
133.445821,0.000000
136.321520,0.000000
139.028977,0.000000
141.560402,0.000000
143.904891,0.000000
146.054655,0.000000
148.005020,0.000000
149.751314,0.000000
151.293536,0.000000
152.625455,0.000000
153.736166,0.000000
154.617881,0.000000
155.258137,0.000000
155.649145,0.000000
155.780000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
155.780000,0.000000
